redcount,greencount,bluecount,samecount,redgreen,redblue,greenblue,total,lat,lng
93303,33789,26929,832,4739,273,135,160000,42.386443,-71.160335
92003,34541,27044,713,5026,498,175,160000,42.386444,-71.160332
33961,74107,48231,194,2803,531,173,160000,42.386468,-71.160267
26824,93490,35053,720,3392,92,429,160000,42.3864846612,-71.160210016
29053,91593,34709,572,3677,141,255,160000,42.3864892864,-71.1602093491
20486,95231,35632,694,6636,791,530,160000,42.3864958615,-71.1601351683
38969,80153,36440,133,2893,1311,101,160000,42.386523723,-71.1600033366
33639,87750,31251,589,6080,458,233,160000,42.3865515845,-71.1598715048
33546,88013,30590,661,5986,940,264,160000,42.38655,-71.159879
37169,101432,11247,1837,8061,50,204,160000,42.3865694268,-71.1597444238
33429,104621,16247,1280,4110,24,289,160000,42.3865888536,-71.1596098475
27717,108794,13983,1838,6783,3,882,160000,42.3866082804,-71.1594752712
21764,89688,44024,141,3114,7,1262,160000,42.3866277072,-71.1593406949
28827,81305,44640,188,4381,17,642,160000,42.386647134,-71.1592061185
43325,66927,44575,743,3225,986,219,160000,42.3866665608,-71.159071542
51884,51790,50149,1338,4395,70,374,160000,42.3866859875,-71.1589369656
50137,53315,49805,2370,3880,158,335,160000,42.386688,-71.158923
56410,81960,14218,1218,5934,125,135,160000,42.3867041568,-71.1587876334
59003,79724,14803,723,5343,201,203,160000,42.3867054143,-71.1588023891
44253,96395,8475,1750,8965,6,156,160000,42.3867203135,-71.1586522667
51346,90580,10998,918,5734,19,405,160000,42.386725,-71.158613
46711,93573,12167,1105,5945,15,484,160000,42.3867364703,-71.1585169
20232,108315,23738,514,6064,3,1134,160000,42.386753891,-71.1584815746
20145,105873,25811,907,5936,10,1318,160000,42.386776,-71.158381
19348,109002,25542,687,5087,122,212,160000,42.386782782,-71.1583501491
25238,108891,19341,399,5763,183,185,160000,42.3868303225,-71.1582652695
31741,91411,30412,881,5221,167,167,160000,42.386845,-71.158234
28121,92384,33516,935,4745,92,207,160000,42.386884645,-71.1581495389
43032,101941,8499,758,5492,109,169,160000,42.3869145467,-71.1581343164
46858,97746,8961,735,5414,100,186,160000,42.386935,-71.158105
44620,99118,7017,1154,7736,32,323,160000,42.3869840935,-71.1580346327
50457,94939,6458,1325,6494,23,304,160000,42.3870130286,-71.1580175791
14429,82448,59177,670,2236,41,999,160000,42.387043,-71.157984
7963,86916,62014,489,1690,51,877,160000,42.3870910572,-71.1579301581
33578,71967,49027,1231,2963,251,983,160000,42.3871319385,-71.1579184
41082,87953,22880,2377,4740,118,850,160000,42.387184,-71.15788
39555,89039,23149,1710,5650,183,714,160000,42.3872208771,-71.1578527999
14270,98536,41798,772,3669,13,942,160000,42.387274666,-71.1578188882
11862,95577,46806,653,3671,20,1411,160000,42.387365332,-71.1577577763
11186,95596,48390,496,2982,62,1288,160000,42.387365,-71.157758
21429,86334,45696,427,5106,5,1003,160000,42.3874616987,-71.1577172235
22621,84636,46026,353,5429,5,930,160000,42.387531,-71.157688
10751,106152,39988,225,1853,34,997,160000,42.3875583975,-71.1576764469
8123,98905,49483,796,1309,101,1283,160000,42.3876301659,-71.1576601264
33241,81990,39151,1392,3296,50,880,160000,42.387716,-71.157636
32343,82160,39940,1106,3382,112,957,160000,42.3877293318,-71.1576322527
3529,87276,67126,299,489,89,1192,160000,42.3878159048,-71.1576134761
4277,92829,59907,412,1157,128,1290,160000,42.3879158095,-71.1575909521
3798,93133,60581,397,689,116,1286,160000,42.387991,-71.157574
3594,100029,53760,377,910,6,1324,160000,42.3880157143,-71.1575684281
3720,100939,53015,220,654,12,1440,160000,42.3880902941,-71.1575469758
20664,91370,41409,639,4888,25,1005,160000,42.3881895882,-71.1575199515
8165,101948,47217,377,1355,80,858,160000,42.3882888824,-71.1574929272
9672,105448,41444,343,2358,10,725,160000,42.3883881765,-71.1574659029
11829,70518,74028,446,1906,1,1272,160000,42.388476,-71.157442
11848,69209,74745,736,2139,4,1319,160000,42.3884874706,-71.1574388785
19860,75078,59141,1157,3495,50,1219,160000,42.3885757475,-71.1574182321
16329,85050,51751,1159,4666,33,1012,160000,42.3886754949,-71.1573944642
14624,47835,91010,1351,4177,419,584,160000,42.388732,-71.157381
29128,31927,93901,399,1691,2300,654,160000,42.3887752424,-71.1573706962
28598,33143,94111,450,1683,1510,505,160000,42.3888324857,-71.1573638555
36211,27698,91110,1007,2981,317,676,160000,42.3889329714,-71.1573467111
38750,25961,90301,1226,2782,342,638,160000,42.388943,-71.157345
44807,20466,89031,1412,3442,53,789,160000,42.3890334572,-71.1573295666
42834,20557,91259,1507,3144,50,649,160000,42.389041866,-71.1573152367
48399,19819,86525,950,3333,70,904,160000,42.389140732,-71.1572854734
40627,25418,88540,1557,3230,98,530,160000,42.389239598,-71.15725571
