lat,lng,huegroup
42.3634588222,-71.1034194861,"[2779, 1174, 1044, 1509, 2650, 5022, 8550, 8247, 7858, 2649, 6099, 7398, 4975, 6222, 5521, 3880, 3677, 1871, 1333, 339, 548, 530, 557, 451, 902, 993, 1405, 897, 646, 95, 1354, 1535, 2539, 2893, 8964, 13353, 13276, 8019, 6655, 73, 3088, 1953, 882, 165, 517, 33, 611, 96, 177, 12, 85, 171, 122, 94, 375, 1099, 406, 878, 478, 276]"
42.3635228815,-71.1035256573,"[3564, 2432, 1725, 1987, 4148, 9308, 11114, 10796, 9910, 4328, 8864, 8808, 8602, 3676, 3332, 1576, 1536, 1056, 699, 116, 345, 346, 462, 294, 484, 423, 478, 707, 192, 46, 754, 576, 959, 1927, 13014, 17161, 5906, 3259, 1494, 15, 1057, 428, 183, 57, 181, 63, 266, 175, 260, 141, 227, 215, 297, 327, 573, 828, 1226, 2008, 2719, 2350]"
42.3635869407,-71.1036318286,"[8318, 2663, 1416, 1626, 2138, 4524, 23151, 13732, 7920, 1224, 7064, 5176, 2124, 1876, 4377, 1222, 2723, 1800, 1643, 192, 354, 926, 779, 329, 965, 2442, 2541, 3266, 3053, 496, 2485, 3460, 3008, 2830, 7242, 5546, 10557, 2996, 2544, 32, 1701, 945, 280, 112, 211, 12, 405, 75, 75, 7, 29, 78, 57, 50, 171, 526, 210, 405, 1724, 2167]"
42.363622113,-71.1036913027,"[8136, 2801, 1327, 1287, 2253, 4648, 22787, 12968, 8174, 1323, 6963, 5874, 2144, 1710, 4163, 1076, 2579, 2100, 1447, 137, 317, 1043, 959, 543, 835, 1911, 2852, 3259, 2578, 390, 2641, 3807, 3442, 3242, 7302, 6420, 10127, 2513, 2153, 19, 1876, 735, 267, 110, 227, 13, 529, 56, 121, 5, 65, 69, 61, 60, 237, 757, 335, 359, 1452, 2416]"
42.3636871304,-71.1037964019,"[2742, 1405, 740, 668, 1723, 4553, 5679, 10100, 8863, 608, 6932, 6340, 2268, 1559, 2046, 592, 1527, 921, 629, 123, 394, 740, 497, 493, 551, 561, 937, 705, 611, 223, 2318, 3313, 4301, 11822, 33483, 20620, 6101, 2839, 1634, 18, 767, 393, 129, 60, 181, 55, 208, 98, 112, 44, 73, 135, 106, 140, 269, 392, 663, 832, 1713, 1451]"
42.3637521478,-71.1039015013,"[4623, 1977, 1136, 897, 2687, 4360, 5750, 8568, 7845, 342, 10251, 8738, 1891, 1407, 2071, 500, 2468, 743, 1192, 87, 519, 815, 750, 626, 1310, 2157, 1954, 1844, 947, 221, 1987, 2952, 3453, 7556, 24714, 25193, 5233, 1020, 857, 4, 862, 229, 111, 33, 103, 2, 253, 35, 83, 2, 35, 66, 81, 91, 297, 488, 835, 830, 1968, 1951]"
42.3638171652,-71.1040066007,"[4177, 1758, 1188, 1112, 2908, 5823, 7062, 7831, 10079, 749, 10001, 9382, 1895, 2704, 5018, 800, 4859, 1326, 2131, 91, 884, 1391, 1285, 967, 1147, 2000, 2207, 2575, 1005, 223, 2387, 2826, 4260, 7444, 22374, 12513, 4376, 1008, 1161, 0, 772, 208, 193, 19, 128, 2, 222, 21, 29, 1, 30, 53, 37, 59, 221, 350, 415, 478, 1746, 2089]"
42.3638821826,-71.1041117003,"[3679, 2739, 2333, 2089, 2496, 7949, 7057, 10246, 7748, 225, 11263, 9028, 1481, 2514, 4947, 513, 3062, 1704, 4499, 129, 2181, 3809, 2768, 2444, 4279, 3642, 4949, 3225, 1487, 282, 2612, 6126, 6186, 2348, 6814, 4716, 6566, 1715, 2272, 8, 1833, 963, 293, 160, 302, 60, 362, 79, 66, 2, 32, 50, 48, 31, 146, 275, 184, 277, 308, 399]"
42.3639269237,-71.1041840072,"[2394, 1800, 1540, 2189, 5072, 7559, 8393, 3887, 3553, 110, 3674, 3920, 1320, 1329, 2607, 2491, 4918, 3384, 2724, 1139, 1238, 1011, 824, 844, 828, 1312, 1798, 1604, 1348, 298, 3602, 4614, 7265, 11019, 26628, 14959, 7442, 2198, 1439, 58, 1117, 761, 301, 128, 273, 8, 365, 25, 65, 0, 49, 50, 53, 101, 208, 533, 339, 334, 630, 328]"
42.3639919322,-71.1042891171,"[1825, 475, 653, 876, 1708, 3487, 5232, 7529, 5491, 192, 5293, 4899, 3769, 2290, 5204, 1576, 6477, 2005, 3674, 362, 770, 1205, 2366, 873, 1123, 2648, 2285, 3457, 1144, 198, 2655, 4705, 7304, 9852, 23861, 14360, 8795, 3145, 2463, 7, 1490, 536, 236, 31, 147, 7, 290, 23, 25, 5, 8, 28, 37, 11, 153, 351, 40, 173, 106, 70]"
42.3640569407,-71.1043942271,"[1597, 207, 216, 430, 781, 747, 2094, 2386, 2732, 307, 5971, 5854, 5435, 6507, 7287, 4806, 6502, 3821, 3796, 488, 1396, 1482, 2151, 1095, 2072, 2433, 3922, 3687, 3930, 1468, 8956, 8626, 8605, 7502, 11428, 11071, 7847, 4201, 2759, 42, 1550, 409, 172, 39, 90, 8, 202, 24, 24, 2, 9, 41, 34, 26, 97, 255, 80, 162, 83, 56]"
42.3641219492,-71.1044993372,"[2773, 841, 456, 477, 1004, 960, 2229, 3037, 4077, 2907, 9527, 8386, 6111, 6886, 6075, 4428, 5521, 3496, 2916, 859, 1508, 1982, 1703, 1257, 1811, 1678, 4245, 2132, 2847, 469, 3385, 4241, 4514, 7565, 19188, 10863, 7601, 3163, 2077, 3, 1145, 573, 186, 43, 127, 13, 184, 19, 49, 2, 33, 49, 55, 56, 213, 574, 128, 304, 435, 614]"
42.3641869576,-71.1046044474,"[3087, 2107, 1861, 876, 1498, 1551, 3004, 2425, 4312, 2214, 9021, 15674, 17031, 11401, 8595, 5129, 4392, 2105, 1267, 468, 728, 505, 431, 375, 699, 1520, 844, 1377, 725, 156, 1869, 4437, 7145, 7721, 12449, 9373, 5223, 882, 453, 0, 692, 211, 143, 143, 264, 4, 340, 71, 86, 0, 28, 51, 49, 39, 163, 741, 498, 510, 676, 361]"
42.3642519661,-71.1047095577,"[2625, 2395, 2242, 1781, 2560, 5248, 5011, 5531, 4710, 2076, 7348, 7584, 6617, 5279, 4350, 1578, 2531, 1246, 2440, 320, 1614, 823, 1321, 885, 885, 1783, 633, 583, 453, 147, 1131, 2315, 5784, 11048, 18761, 18826, 6874, 1664, 1506, 1, 1697, 816, 340, 338, 545, 23, 675, 187, 405, 16, 193, 424, 284, 199, 658, 469, 483, 437, 531, 771]"
42.3643169746,-71.1048146681,"[2263, 1100, 1598, 2962, 10555, 24876, 14537, 7834, 5714, 524, 3733, 3694, 1134, 1193, 1524, 813, 1230, 485, 372, 45, 242, 302, 269, 291, 426, 531, 455, 325, 229, 55, 531, 1572, 3014, 7680, 21104, 18558, 5869, 2384, 1671, 4, 933, 448, 149, 77, 168, 8, 223, 35, 63, 21, 34, 75, 70, 65, 215, 392, 375, 554, 1431, 2966]"
42.3643819831,-71.1049197786,"[2115, 587, 1482, 5966, 17113, 27575, 15591, 7598, 4582, 514, 3889, 3441, 1777, 1281, 2871, 1631, 3108, 2313, 1328, 197, 302, 242, 654, 128, 345, 876, 277, 539, 119, 35, 394, 858, 1558, 3888, 12023, 13273, 7432, 3799, 2450, 0, 1243, 583, 214, 61, 168, 13, 419, 22, 49, 5, 27, 71, 99, 103, 356, 894, 338, 489, 454, 241]"
42.3644469915,-71.1050248893,"[1756, 719, 1197, 2853, 11024, 18978, 9517, 6532, 9154, 454, 9024, 6781, 2561, 1977, 3445, 932, 4052, 2854, 5705, 513, 2071, 3068, 2679, 1304, 1861, 3139, 2904, 3742, 2024, 478, 3818, 4263, 7646, 4846, 5124, 2702, 3306, 637, 1263, 7, 800, 320, 109, 35, 95, 11, 248, 23, 28, 2, 21, 41, 41, 45, 138, 221, 218, 257, 275, 162]"
